City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,58.37,107.96,0.92,18.22,17.15,25.902784132793567,0.92,27.64,133.36,0.0,0.02,0.0,167.00091410856268,Moderate
Ahmedabad,58.37,107.96,0.97,15.69,16.46,16.373284044295016,0.97,24.55,34.06,3.68,5.5,3.77,145.5183543634855,Moderate
Ahmedabad,58.37,107.96,17.4,19.3,29.7,41.570358293029884,17.4,29.07,30.7,6.8,16.4,2.25,335.58677446825527,Very Poor
Ahmedabad,58.37,107.96,1.7,18.48,17.97,27.832037913111066,1.7,18.59,36.08,4.43,10.14,1.0,150.03310248218494,Moderate
Ahmedabad,58.37,107.96,22.1,21.42,37.76,45.003526863325334,22.1,39.33,39.31,7.01,18.89,2.78,399.80518982476383,Very Poor
Ahmedabad,58.37,107.96,45.41,38.48,81.5,62.79738240892459,45.41,45.76,46.51,5.42,10.83,1.93,677.9555286900702,Severe
Ahmedabad,58.37,107.96,112.16,40.62,130.77,119.46418003132786,112.16,32.28,33.47,0.0,0.0,0.0,1422.7365175136758,Severe
Ahmedabad,58.37,107.96,80.87,36.74,96.75,92.53208713076252,80.87,38.54,31.89,0.0,0.0,0.0,1069.6773685578885,Severe
Ahmedabad,58.37,107.96,29.16,31.0,48.0,46.930401639811514,29.16,58.68,25.75,0.0,0.0,0.0,494.7256208222801,Severe
Ahmedabad,58.37,107.96,16.28,7.04,0.0,37.804444265211345,16.244999999999997,8.29,4.55,0.0,0.0,0.0,294.11583214586653,Poor
Ahmedabad,58.37,107.96,132.07,55.8,24.53,150.7885719029446,132.07,25.03,6.79,0.0,0.0,0.0,1617.2480983665805,Severe
Ahmedabad,58.37,107.96,52.04,40.67,90.24,44.74643173740161,52.04,51.84,45.89,2.41,0.03,7.88,758.875995105326,Severe
Ahmedabad,58.37,107.96,48.82,44.2,87.09,37.88408768343543,48.82,68.21,35.16,9.45,13.35,12.5,733.4606914430487,Severe
Ahmedabad,58.37,107.96,19.2,27.86,33.05,25.824168356213598,19.2,52.65,20.96,2.16,2.26,5.19,374.18340436544895,Very Poor
Ahmedabad,58.37,107.96,0.6,16.96,16.6,19.088004959975024,0.6,28.89,47.63,0.14,0.04,1.35,147.59495905900465,Moderate
Ahmedabad,58.37,107.96,1.63,21.72,22.86,17.838907305605506,1.63,38.27,46.03,0.35,0.05,2.01,167.99855069689485,Moderate
Ahmedabad,58.37,107.96,11.44,24.73,34.75,22.673391751076938,11.44,49.5,52.24,0.68,0.0,3.27,290.6433139600432,Poor
Ahmedabad,58.37,107.96,6.1,25.77,29.57,19.937007451040348,6.1,48.43,53.49,0.74,0.21,2.75,229.330847245366,Poor
Ahmedabad,58.37,107.96,2.51,26.88,27.45,16.17304922499782,2.51,50.03,49.48,0.26,0.02,2.8,189.3093994217128,Moderate
Ahmedabad,58.37,107.96,7.92,26.8,32.4,17.348485453496146,7.92,58.87,56.37,0.24,0.01,3.97,259.1789305165986,Poor
Ahmedabad,58.37,107.96,9.52,33.56,39.28,12.495962957627686,9.52,106.93,48.75,0.33,0.0,5.65,315.66112275293733,Very Poor
Ahmedabad,58.37,107.96,9.05,17.51,22.33,17.30117086957969,9.05,23.71,42.22,0.0,0.0,4.51,238.356639570517,Poor
Ahmedabad,58.37,107.96,22.53,27.96,47.79,23.976151079814528,22.53,39.19,32.92,0.39,0.0,5.95,405.9842793042642,Severe
Ahmedabad,58.37,107.96,2.03,20.39,21.4,19.477272762862185,2.03,40.07,32.49,0.47,0.7,1.54,170.84861045604842,Moderate
Ahmedabad,58.37,107.96,1.42,20.43,20.19,19.900003666580925,1.42,58.41,39.26,0.01,0.0,0.94,179.54593927976723,Moderate
Ahmedabad,58.37,107.96,2.27,21.16,21.81,19.301884716108578,2.27,43.73,39.83,0.06,0.0,1.55,178.01410200056822,Moderate
Ahmedabad,58.37,107.96,2.19,21.7,23.26,18.86650789659539,2.19,43.28,41.1,0.02,0.0,1.65,177.346422611343,Moderate
Ahmedabad,73.24,107.96,5.72,21.11,25.84,24.13690142722136,5.72,36.52,62.42,0.03,0.01,1.41,231.12717902628478,Poor
Ahmedabad,83.13,107.96,6.93,28.71,33.72,20.281299190803615,6.93,49.52,59.76,0.02,0.0,3.14,209.0,Poor
Ahmedabad,79.84,107.96,13.85,28.68,41.08,22.251036404826714,13.85,48.49,97.07,0.04,0.0,4.81,328.0,Very Poor
Ahmedabad,94.52,107.96,24.39,32.66,52.61,23.94064078623325,24.39,67.39,111.33,0.24,0.01,7.67,514.0,Severe
Ahmedabad,135.99,107.96,43.48,42.08,84.57,0.0,43.48,75.23,102.7,0.4,0.04,25.87,782.0,Severe
Ahmedabad,178.33,107.96,54.56,35.31,72.8,0.0,54.56,55.04,107.38,0.46,0.06,35.61,914.0,Severe
Ahmedabad,139.7,107.96,30.61,28.4,56.73,18.669812207121687,30.61,33.79,73.6,0.17,0.03,11.87,660.0,Severe
Ahmedabad,80.65,107.96,2.37,22.83,24.0,25.598554038599655,2.37,25.73,47.3,0.0,0.0,0.0,294.0,Poor
Ahmedabad,58.36,107.96,2.6,21.39,23.31,24.671472413956536,2.6,32.66,53.54,0.0,0.0,0.0,149.0,Moderate
Ahmedabad,79.29,107.96,1.16,26.94,26.83,23.733123462992875,1.16,67.41,59.3,0.0,0.0,0.0,190.0,Moderate
Ahmedabad,88.7,107.96,7.29,31.32,37.73,28.5755367918444,7.29,80.09,44.76,0.0,0.0,0.0,247.0,Poor
Ahmedabad,74.28,107.96,8.92,27.3,33.42,29.47359859286074,8.92,54.28,47.42,0.0,0.0,0.27,379.0,Very Poor
Ahmedabad,113.93,107.96,4.32,24.27,26.86,17.72112846468096,4.32,48.73,39.94,0.02,0.0,3.55,341.0,Very Poor
Ahmedabad,105.39,107.96,1.41,18.21,18.75,16.25461262444957,1.41,35.91,56.15,0.0,0.0,3.31,256.0,Poor
Ahmedabad,66.52,107.96,6.34,23.8,28.24,0.0,6.34,66.58,53.14,9.7,9.63,16.49,388.0,Very Poor
Ahmedabad,65.04,107.96,14.19,30.1,44.21,37.72455229725991,14.19,65.91,31.88,7.72,17.46,2.51,288.0,Poor
Ahmedabad,103.36,107.96,18.18,39.56,57.33,45.37770457447526,18.18,80.43,40.11,11.29,24.35,3.35,510.0,Severe
Ahmedabad,177.33,107.96,37.49,47.58,77.85,69.75698033154325,37.49,99.72,36.47,17.0,52.66,6.98,761.0,Severe
Ahmedabad,113.25,107.96,15.55,30.5,44.87,45.32131001851433,15.55,69.71,33.78,10.47,28.53,3.22,475.0,Severe
Ahmedabad,99.7,107.96,19.85,28.1,47.31,46.78107076784103,19.85,73.23,30.57,10.28,31.25,4.0,536.0,Severe
Ahmedabad,80.61,107.96,15.96,21.04,35.67,41.248086773240715,15.96,54.7,36.2,8.14,18.75,2.52,479.0,Severe
Ahmedabad,100.79,107.96,16.24,25.93,41.91,44.93726397652539,16.24,43.11,37.43,10.0,32.41,4.04,592.0,Severe
Ahmedabad,107.99,107.96,11.25,30.09,40.47,38.227496493297096,11.25,84.86,31.94,9.2,24.03,3.25,427.0,Severe
Ahmedabad,140.29,107.96,33.84,36.14,68.85,61.07457842923282,33.84,101.53,40.98,20.12,43.51,7.48,588.0,Severe
Ahmedabad,239.96,107.96,61.95,46.25,106.92,72.27711738327397,61.95,84.87,33.55,22.14,53.98,15.44,1141.0,Severe
Ahmedabad,142.96,107.96,45.45,48.21,92.32,52.76836060628381,45.45,62.96,34.77,7.35,22.4,8.47,669.0,Severe
Ahmedabad,238.41,107.96,77.7,55.07,131.32,109.48914675334595,77.7,89.07,37.3,50.61,163.64,28.46,1247.0,Severe
Ahmedabad,118.72,107.96,12.56,32.01,42.56,46.48488468036685,12.56,61.54,38.8,16.89,46.52,6.05,411.0,Severe
Ahmedabad,52.99,107.96,2.23,10.45,10.39,29.23881881014394,2.23,32.76,67.25,3.85,11.39,0.81,292.0,Poor
Ahmedabad,58.37,107.96,16.28,47.19,39.51,45.939793934020656,16.244999999999997,46.78,39.51,4.05,28.185000000000002,2.04,343.65652574632054,Very Poor
Ahmedabad,58.37,107.96,16.28,47.19,39.51,45.939793934020656,16.244999999999997,46.78,39.51,4.05,28.185000000000002,2.04,343.65652574632054,Very Poor
Ahmedabad,58.37,107.96,16.28,47.19,39.51,45.939793934020656,16.244999999999997,46.78,39.51,4.05,28.185000000000002,2.04,343.65652574632054,Very Poor
Ahmedabad,61.12,107.96,3.58,16.81,20.92,23.369024912248985,3.58,28.44,30.48,2.69,1.58,1.32,180.9075838013833,Moderate
Ahmedabad,60.78,107.96,9.07,18.21,27.34,30.559841763033475,9.07,29.48,34.75,2.05,0.55,0.22,189.0,Moderate
Ahmedabad,91.83,107.96,12.99,28.71,40.76,30.305937116000887,12.99,39.71,38.46,2.69,1.74,2.25,408.0,Severe
Ahmedabad,93.88,107.96,18.21,29.38,47.01,38.32449414071159,18.21,62.75,46.79,5.21,2.55,1.55,383.0,Very Poor
Ahmedabad,173.01,107.96,48.44,42.27,90.73,65.92719348903451,48.44,78.76,59.39,9.72,9.96,4.13,780.0,Severe
Ahmedabad,58.37,107.96,16.28,47.19,39.51,45.939793934020656,16.244999999999997,46.78,39.51,4.05,28.185000000000002,2.04,343.65652574632054,Very Poor
Ahmedabad,105.45,107.96,2.5,16.1,18.66,39.4239492964666,2.5,29.29,69.9,17.77,5.75,0.39,221.2984453280774,Poor
Ahmedabad,71.56,107.96,3.51,16.83,20.32,29.98252910930305,3.51,30.28,57.16,3.95,8.01,0.63,190.0,Moderate
Ahmedabad,119.8,107.96,4.13,24.07,27.9,32.225770447166695,4.13,50.35,50.49,4.85,12.15,1.35,233.0,Poor
Ahmedabad,106.71,107.96,5.39,25.59,30.51,33.43835328309707,5.39,38.85,60.17,5.58,14.17,1.74,297.0,Poor
Ahmedabad,118.49,107.96,4.11,28.94,31.83,33.666007548037285,4.11,54.2,53.61,7.9,21.32,2.78,330.0,Very Poor
Ahmedabad,106.01,107.96,4.28,27.31,30.54,34.1056184438018,4.28,70.29,40.91,9.45,15.54,1.71,252.0,Poor
Ahmedabad,97.34,107.96,3.67,21.58,24.62,29.269821886011677,3.67,64.39,45.69,5.61,15.02,2.25,244.0,Poor
Ahmedabad,83.92,107.96,6.42,25.03,30.8,32.35427241645205,6.42,67.53,34.94,8.24,21.47,3.09,234.0,Poor
Ahmedabad,49.51,107.96,3.1,14.16,16.15,27.863432295360727,3.1,48.33,37.95,4.34,11.34,1.09,219.0,Poor
Ahmedabad,30.76,107.96,2.72,14.14,16.98,26.62565140721214,2.72,43.62,54.78,3.58,9.38,0.84,118.0,Moderate
Ahmedabad,50.29,107.96,5.34,29.84,33.28,30.45270907735527,5.34,59.23,45.44,5.45,15.12,1.65,231.0,Poor
Ahmedabad,57.69,107.96,25.36,29.48,54.79,48.85040372944556,25.36,58.33,52.87,9.55,32.11,4.53,286.0,Poor
Ahmedabad,105.06,107.96,46.24,37.05,82.23,69.5310138956948,46.24,53.62,45.65,20.89,75.36,12.7,883.0,Severe
Ahmedabad,94.1,107.96,22.14,36.53,57.49,50.838536031908816,22.14,61.31,46.77,17.5,52.01,7.9,720.0,Severe
Ahmedabad,111.89,107.96,22.25,43.29,64.53,51.24515443328418,22.25,66.44,50.57,18.03,56.86,8.86,570.0,Severe
Ahmedabad,108.59,107.96,25.38,39.34,63.01,53.84326520198795,25.38,75.8,46.68,15.78,48.41,7.07,589.0,Severe
Ahmedabad,130.76,107.96,45.61,41.03,85.76,76.1582254104826,45.61,65.77,41.58,24.12,85.31,12.56,818.0,Severe
Ahmedabad,143.55,107.96,27.3,31.15,57.16,60.00701388797287,27.3,50.98,35.38,18.61,72.78,10.15,737.0,Severe
Ahmedabad,165.07,107.96,23.83,34.48,57.71,65.62149042886068,23.83,64.32,43.79,29.14,64.01,8.51,585.0,Severe
Ahmedabad,166.85,107.96,17.93,43.3,60.07,55.265868184050376,17.93,79.71,53.44,24.09,67.38,9.76,616.0,Severe
Ahmedabad,147.38,107.96,6.4,35.82,40.22,39.91891816784998,6.4,46.89,17.94,14.23,41.88,5.7,437.0,Severe
Ahmedabad,158.25,107.96,5.86,27.89,32.65,37.49557781710964,5.86,142.36,38.54,13.67,21.24,2.83,321.0,Very Poor
Ahmedabad,237.76,107.96,4.99,21.8,25.37,40.745176451351526,4.99,96.28,39.77,8.68,14.95,1.28,372.0,Very Poor
Ahmedabad,133.37,107.96,3.88,17.99,21.02,33.46727074107461,3.88,57.34,39.66,5.76,11.74,1.04,339.0,Very Poor
Ahmedabad,133.3,107.96,6.52,20.0,26.18,39.064009134573524,6.52,51.58,59.03,9.94,21.13,2.31,339.0,Very Poor
